"HOVER HERE FOR NOTE:
V160001",V161069 - PRE:  What is it that R likes about Democratic Pres cand
301462,herstands on obama  care
301464,she wants to make college free cheaper than it is that is why i dont go to college do not have money
301465,equal pay for women
301467,SHE WOULD BE THE MOST RESPONSIBLE PERSON
301472,"strong qualifications, her history"
301474,"She has been through everything she has been in politic forever & I like her, shee knows what she is talking about & I like her//"
301479,her experience mos probably her education//
301481,WORK PROGRAMS//
301482,
301483,"I like how her husband president, she is the first woman president//"
301488,
301489,
301491,basically slhe is trlying to help what is already in position and make it better\\
301495,
301496,
301497,
301498,
301500,
301501,The Supreme Court and preservation of the Affordable Care Act//I like her views on education and I think she has stable foreign policy credentials//
301511,SHE'S A ADEPT POLITICIAN//GOOD AT WHAT SHE DOES EVEN IF I DON'T LIKE EVERYTHING THAT SHE DOES
301513,"all her years of experience being in government//overseas, all that government stuff"
301514,base on expeience//prefossionalism
301515,political experience
301516,"early childhood education; reaassuring how familiar ahe is with the govt; her interests are doing good for the country, she is a smart woman//"
301519,experience//qualified//
301522,"first of all, she is in favor of women, as a women,mother and wife I NEED a support like hers and make it shown how much we women are worth"
301527,
301528,
301530,
301533,So Trump won't win
301536,
301538,"I really likek her economic policy.// I don't think it goes far enough, but I think it's sound and a good start; and wouldn't undo any of the progress we've made, such as raising minimum wage and protecting American jobs.// I also really like that she's emphasized women's rights and gender rights.// I think she would nominate really capable Supreme Court justices who would work in the interest of promoting equlity, fairness, and sensible legislation.// I also think she's very experienced in the political arena and that's very important in this uncertain political climate.//"
301541,
301544,she will follow thru with what Obama has done//
301545,I feel like Hillary Clinton has been in the political arena for a long time and I like her. She's a politcal person and has been in the politcal arena for a long time I feel politcs is a game. If you don't know how to go around to the Senate and Congress and you can't make enmies//
301551,
301552,
301553,Being a woman//
301556,"She has a good track record from those around her in the positions she has been in, I would consider her a corporate Democrate which I do not think is favorable but I do feel she is sincere and competant//"
301560,
301562,
301563,
301564,HER POLICY PORPOSALS WITH RESPECT TO CHILDREN HEALTH CARE LIFTING THE GLASS CEILING EXPERIENCCE DEALING WITH FOREIGN AFFAIRS AND SEE A WOMAN WIN THE PRESIDENCY IN MY LIFETIME
301566,
301567,she is a democrat//
301570,
301572,The Clintons when he was President in the nineties the economy was good and you had extra money.////
301580,I feel like she is a better candidate and has the most experience//
301583,shes been tested well and she has been doing the her job real good now and they get her extra hardship by being a woman
301584,extensive qualifications due to experience//she has a very strong character//
301589,"i think she is for the middle class citizen like myself, i like the experience she has had in Washington dc\\"
301590,
301594,If I had to say something good about her he is knowledgable and has a high IQ
301596,
301598,
301601,
301602,based on her competition
301603,"I guess she might be more compassionate on some of th esocial issues. She might have more experience in certain, obviously with all of her political experience she has more political experiene in that area. The benefits of that would be good. But, I also think there might be some corruption. But, just for the experience factor, I think that might be a positive factor for her. //"
301605,she is more qualified\\
301607,"everything is good for Hiliray Cliniton, Marine Soldiers, Afganistan,"
301608,experience she secretary of state she was in thesenete she advocates for women and children
301610,
301611,her support of women and children her experience her ability to stay calm//
301612,I do like how she is for womens rights and health care.  Overall she does good even though she makes mistakes.  I tend to agree with a lot of stuff she is pushing for.//
301617,Her many years of service and experience
301618,
301623,Her amount in time in service to the country.  Her intelligence. She is studeous about policies and I believe she understand about policies and her background make her the best candidate.//
301624,i think that on paper she is vey qualified
301628,as long as donald trump does not get into office//
301629,
301631,She has more experience and she was the wife of the president
301633,
301634,
301636,
301637,
301645,THE POLICIES THAT SHE OFFERS AND THAT SHE IS A WOMAN//
301648,she is going to continue some of the policies Barack started health care and ecucation
301649,"she is a democrat,satisfied with clinton being there and hope that he will influence her//"
301650,Trump doesn't act smart enough to be President of USA  he doesn't have enough knowledge
301651,"I just think she has the experience. She has dedicated her whole entire life after college to public services, I don't think she  is the perfect candisiate, but I definetly feel she is much better equipped than Trump. //"
301654,
301655,just to have a women as president//
301656,she is equality for alll means alot but she is a liar//
301659,I believe she'll be a good representative when it comes to womans rights.
301661,
301663,I would say that she is the most qualified person to run for that office. She should be a good one.//
301665,
301666,"Mostly her progressive stances, her stances on inclusion and equality.//Her political experience and the fact that she has already been in the White House and this wouldn't be uncharted territory for her.//There would be too much at stake if Donald Trump won the election so a vote for Hiliary means a vote against Donald Trump which is another reason why Iam voting for her. My main motivation is to vote against Donald Trump.//"
301669,
301670,
301672,Her concern for women and children.//Her knowledge of government operations.
301677,she has her mind set has already been in the office so she knows what to do for her whole life she has been in the political bckground so she has very good knowledge
301678,Her political experience.//She's been out there a long time.  Her experience counts. She is involved.//
301679,
301685,she does hav experience\\i think she is more diplomatic\\
301686,
301688,She has her husband that used to be President that can help her//
301691,
301692,"The fact that she's a woman; that would be awesome to have a woman president. But given her character, I'd rather have a man with better character than a woman just because she's a woman. But the man who is running, doesn't have a great character in my mind either. // I do like the fact that she does want to make college affordable. I think that is something that should happen. //"
301694,
301695,
301697,"She has more experience than anyone who has ever ran. She has been in the White House, The U S Senate, and Secretary of State. She has plenty of experience and endurance contrary to what Trump Said."
301702,She is a female.  Her outlook on helping--they way she is trying to run it and help us is beneficial.
301705,Deep experience.  Dedicated public servant//Solid temperament
301706,
301707,
301708,To do something about the undocumented. They come and suffer .\\
301709,
301710,stands on issues coincide with mine//she has doen some good things//
301712,"EXCEPTIONAL HISTORY OF HELPING OTHERS HAVING DONE SO SINCE HIGH SCHOOL, SHES NOT DONALD TRUMP//"
301717,"I feel more confidence with her just because she's been with the White House and she's been in the White House, married to the president. I think she knows what the country needs.//"
301720,"The reverse of Donal Trump she will elp the working class the latinos she does not show racisms, she has experience in politics //"
301721,
301724,the fact that her husband is a 2 term ex president//
301727,
301731,:\\work she has done do far
301734,
301741,
301746,
301748,Gender//Experience//Her policies//
301749,Her experience.//I think she has a great deal of experience and be the most qualified candidate that i can think of and she will do a good job of representing my interests and upholding the values I have//
301759,Because she's a Democrat. She's with the immigration. They are the better.\\
301760,
301761,Experience.//
301766,"I respect her foreign policy. I appreciate what she did while she was Secretary of State. She made good strides. I appreciate what she did with Barack Obama when she barged intio the meeting and were talking about environmental policies. They took it over and really forged a pathway to cleaner air and better environmental policies.//I like that she has been a Senator, she has been in Congress. She knows that she has to work for what she needs to do. She knows her way around. People say they hate career politicians but I appreciate that she does have the experience. I appreciate that she has taken on some of Bernie Sander's policies: raising the minimum wage, health care, maternity leave. So I would like to see more of that out of her.//"
301767,
301770,
301774,"Knowledge about how government works, some of the policies she is suggesting for our youth today//"
301776,
301777,
301778,diplomatic
301779,
301782,
301784,her experience in regards to politics//
301786,"SHE HAS MORE EXPPERIENCE THAN ANYONE ELSE, I AM A WOMEN AND APRRECIATE THE ABILITY TO VOTE FOR A WOMEN.  SHE WORKED VERY HARD TO GET HERE AND SHE DESERVES IT"
301787,"personality, she is very charming and she knows what she is talking about, she has a lot of experience in politics, she is more stable, she seems very concerned with the american people and political aims she has are good, i just like her\\"
301789,I don't want to tell you about that either
301791,she has a strong basis for women and family// she wants to keep theobama health care// her policy on tax cuts
301795,
301799,"Hard working, dedicated career to public servitude or whatever the word is, smart.  That probably captures it."
301801,is female//
301802,
301803,"I like what she stand for, I think that being in the position she was before, I like her records, her husband being a president, wjhen his husband was president he did good.//"
301804,
301805,Her experience//her professionalism//Her humanity//Her intelligence
301807,
301809,"its difficult to put that in sut  few words//shes interlligernt, she's knowledable of politics, she has experience in elected office and administrative office"
301810,her political experience\\
301811,Seems like she has experience being with Bill//
301812,"She is the most prepared , most educated, She has been SEcretary of Sate which is a high position.She is a a former first lady, so she knows that part of it about being the wife of a President.//She is has actually made strides to make America Better unlike Trump."
301821,experience//her prior work with children and families//her even temperment and character//fact that she wants to pull us all together and not divide us//
301828,she not donald trump
301831,
301838,
301839,
301840,she acomplished experienced// reasonably caring
301843,
301844,
301846,SHE IS QUIET AND SAYS THINGS RIGHT//SHE DOES THE RIGHT THINGS//
301848,
301851,
301854,
301856,
301857,
301858,she has experience\\
301860,
301862,
301863,
301865,
301870,
301873,Unity and diversity among the people.\\
301875,
301876,I THINK THE I TEND TO AGREE TO MOST HER STANCES ON ISSUES THAT ARE OF INTEREST TO ME.//
301877,I believe she's for the low class and immigrants
301879,"she has good ideas, innovative spirit to her//"
301880,"like where she is coming from, don't like Trump"
301881,i dont want to see trump get it// thats fine for right now
301883,
301890,
301891,"In spite of the bad press she's getting I think that she's more qualifled, she knows how the government operates and the main thing is I think she will be able to communicate better with foriegn leaders."
301893,The Democratic platform//her experience//she's by far the better of the two candidates
301894,"You know, that's really confusing because I,, the whole issue about the emails and all that kind of stuff. I guess in the long run she is human. She is a traditional politician. Hilary is not a great speaker. It's obvious she's not comfortable doing public speaches. She not particularly articulate but neither is Donald. I think he vocabulary is 9th grade level, 10th grade level. I think the problem I have with Hilary is Bill. That probably sounds weird. I don't like him . I didn't vote for him. I'm an independant. I voted for him the first time but I didn' t the second time. I know that is nothing I shouldn't hold against her. The positive thing is they did release financial records. The knew they were going to take a hit on that. They recognized that and they decided what they were going to do about the Foundation. They knew they were going to be under scrutiny but Donald hasn't done that. I think that's a big positive. I really do . If they are going to call that transparecy, that's as close as they get."
301895,She is not Donald Trump// Her policies//Her experiences
301896,If nothing happened there wouldn't be a big headline about it. If she didn't do anyhting wrong.
301897,
301902,
301904,I agree with her more on some social issues such as women's right and gay rights.  I don't agree with her economic policies.//I would be more fiscally conservative//
301906,"My main reason is that she's the Democratic candidate and I like where she stands on women's rights and um just minority rights in general. And, just the reason for not privitizing our healthcare and prison system. And, not allowing racial profiling. And, her recent flip flop on no longer agreeing with the TPP. //"
301909,
301910,I think that she is thoughtful and smart//has tremendous amount of  experience//I believe that she has the best interest of individuals and our country as a whole at top of mind
301914,
301917,"SHES A STRONG CANDIDATE SHES A STRONG HAS LOTS OF EXPERIENCE, I LIKE WHAT SHE SAYS//"
301918,
301921,pretty staedy  in her views
301925,
301926,"Possibly if I was voting, that's who I would vote for if I was voting. //"
301930,
301932,MOST TRUTHFUL AND MORE TRUTH THA DON TRUMP
301938,
301941,has experience in government//
301942,
301944,
301946,
301947,
301948,
301950,
301953,
301955,
301956,"Yes, she seems like she is for all people. Not just the upperclass, Those that are left behind, the lesbian community, the homeless, . She is for everybody.// Don't want to seem biased again but she's a democrat and I'm all for seeing the first female in office ,, as well. Yes, I know baseed on watching the debates , her plan seems to make sense about the gun control policy. All her plans , especially about the gun policy. To me, she has a good head on her shoulders. She is married to a president and she has experience herself being around the government. Isn't she a senator or something? She is something.//That'd be all."
301958,everything
301959,"I think she is the best prepared and most well suited for the position. She is an advocate for womens rights, the environment, and equal pay which is most important to me. I think she is very smart and under any pressure or strain she will make the best decisions for the people and this country."
301961,
301967,Lets give a woman a chance it's not going to hurt she can do everything he can do. Everyone says she takes jobs away from everyone. but I think she is for everyone.//
301968,She is a democrat.//
301969,
301970,
301971,
301974,
301977,I guess i would say I would want ot vote for her one because she is a woman and I think that would be cool to have a first woman president//I would vote her because it wold be another vote against Donald Trump//
301980,I feel she was behind her husband when Bill was president so she everything to do basically.
301981,experience in politics//
301982,
301983,
301984,"probably being a woman, that factor really plays into it. There are some things I agree with her on // I think it's because she's a fighter and doesn't give up. //"
301985,
301988,
301990,
301992,She has done a lot of good things for children.  She's knowledgeable and knows what's going on in the government.  Also for women's rights.
301993,
301999,
302001,her being Bill's wife not really//
302007,"I think her experince as a politician maker her more able more worthy as a politician//I think the fact she is a woman be interesting how a woman could handle be in president, there will be a diference//I think that her be in the wife of oa former president  gives an advantage that she pass trhue the process//"
302009,"her experience// shes been in congress, nationally and politically active, held government offices that gave her experience// i am in favor of covert policy i dont think we need to know everythink that is being held against her// thats it."
302014,
302016,
302019,She does have a lot of experience with other nations and their leaders.// She does carry herself in a more professional manner than some of the other candidates.
302023,
302027,
302029,
302030,"I agree with what she is talking about; um, her views of certain topics align with mine. //"
302032,"THERE WOULD BE NO GROUND TROOPS IN THE MIDDLE EAST, WE LIVE NEAR CAMP DAVID AND WE HEAR THINGS ABOUT HER//"
302033,
302034,better than other candidatehas ewxperience
302037,
302040,
302044,
302047,she is woman persistant very positive human represents women//and I think she is prepared and qualified to president
302048,
302050,"very intelligent, she is done the job, experienced, caring about the family and the middle class peoplee"
302052,
302053,I think she is a low risk candidate.  Everyone sort of understands and knows who she is and what she will do.  I think she is very qualified.  Socially progressive but also interestingly fiscally responsible as far as their history.  I also have a great deal of respect for the clinton foundation and the Clinton Global Initiative.//
302054,"casue lshe has family values,she will take care of middle income families\\"
302058,
302067,
302069,
302070,
302074,
302075,
302076,
302077,
302078,her experience\\
302080,Her values what she stand for her her platform//
302083,
302089,
302093,
302097,"she is the experienced one, that she has had throughout the years as the first woman//"
302099,experience//
302100,Lesser of two evils//hoping she can change things in the slightest//Not Trump
302101,
302103,BETTER THAN OTHER OPENTENT//
302104,Political experience/
302105,I do not like Donald Trump//His attitudes toward women are not what this country needs//
302106,
302115,
302117,
302119,She knows a little bit more what's going on than Trump does.//
302121,she has more liberal views//
302122,good inpollicaltic
302123,cause she doesnt give up and she has a lot of the values that I have//
302124,she is very qualified  a lot of experience // she is going to take bill with her
302125,Her experience in politics
302126,
302128,i do not know I have always liked her
302130,
302132,
302133,
302136,I like the way she's been talking about my hispanic rights. I feel she'd not been rude or racist like Donald Trump.//I feel like she's more like she knows what she's doing. Not like Donald who is like a clown.
302138,EXPERIENCE IS WHAT I LIKE. I ALSO THINK SHE IS A GOOD LEADER.//
302142,
302143,"Hillary has a substantial amount of political experience I thin htat is the primary, political experience is a big thing there//Scranton connections always help//"
302145,
302147,
302148,"positive message; environmental issues; um, //"
302150,Health care reform.//
302154,SHE DOES HAVE MORE EXPERIENCE//
302155,social policies//her record of interest in health care.
302161,
302164,SHE IS FOR US AND TRYING TO GET STUFF WE NEVER HAD
302166,"I think her experience is relevant, especially her experience in foreign affairs."
302167,
302169,Her qualifications and experience in government and she is trained as attorney. Her commitment to values that reflect the democratic party and my preferences.I am also voting against Donald Trump
302171,"SHE IS A POLITICIAN SO SHE DOES KNOW THE JOB. SHE HAS INTERNATIONAL EXPERIENCE BECAUSE OF HER JOB AS SECREYTARY OF STATE. I LIKE HE STANCE ON HEALTH ISSUES. EQUAL PAY FOR WOMEN, RAISING MINIMUM WAGE. SHE HAS A TRACK RECORD OF ALWAYS BEING INVOLVED IN COMMUNITY SERVICE.//"
302172,
302174,
302178,Because she has always cared about the children. No matter what race or whether they are boys or girls.\\
302183,she is better than Trump lesser of the evils
302186,"she has a plan, it may not follow thru at least she has a plan of action"
302190,
302192,ecomony
302193,because she is a woman and may run the country better
302195,Her previous experience holding other positions in the government.  Better than the alternative.
302196,Knowledge and experience as a professor for [REDACTED TIME] I think she is probably the most knowledgable candidate I vote for her because of bill. I know him//
302197,I like that she points out his arrogance because a lot of people don't see that in him but you worry that she might lie//
302198,maybe overall experience in the political systems
302206,"I did feel some things as foreign policy she would be good at, I am very disappointed in the Iran deal that she was in favor of , I dont think it was a good deal for the US,"
302207,sec of state flow to other country no leaders by first name
302214,
302216,
302217,
302218,"She's been in this situation with her husband. She kind o knows what's going on. She knows the ins and outs of what's going on. // I think she's intelligent. // She's made mistakes like everybody, she's not God.//"
302219,she does have a lot of expeirence; generallk do believe iin her views; had the emocratic platfordm down pat - would be gcvoo  to ahve a owman president' she's msmart andintelleigent//
302220,
302223,
302231,shes a woman htink she knows the ropes better than he does// don't trust her//
302233,Supreme court
302234,HER EXPERIENCE IN POLITICS. //
302236,
302238,I'm scared how he is coming to President. Lets go see after November. He makes racist for mexico and bosnia.
302239,I like what she had to say about women's rights over their own body//I like that she has experience with other foreign leaders//
302240,"she really tries hard, she works hard"
302244,
302245,"Oh,, she's , Her participation and her long history of being an advocate for underprivileged individuals. She recognizes the importance of women's rights. In watching her speak for instance before fellow internnational leaders as secretary of State, I was impressed with her. The knowledge that she brings to the table , her knowledgge of issues and her ability to articulate and convey the goals for the American people. She generally seems to get it whereas Donald Trump seems lacking in general knowledge.// Oh gosh um, well, she is well-spoken. I admire her perseverence. I feel like the email revelations have unfairly demonized her.//That's probably sufficient."
302246,"Oh,, prettty much everything in particular. Um I BEIEVE ETHICAL ISSUES, ECONOMIC ISSUES, HER INTERNATIONAL POLICIES, EVERYTHING I'M FOR.//I mean going into detail about everything? She has a horrible rate with NRA. I'm for gun restrictions. She supports gay marriage and furthering our rights such as in the work place and transgender rights. She also economic policies with trying to close loopholes and any tax breaks with the rich. I am all over the place. Womens rights, their body, equal pay. And of course she is going to appoint Supreme Court Justices who are non conservative. I guess progressive.// that's all."
302252,seems like she wants better things for the youth//
302253,HER EXPERIENCE IN POLITICS//IS ABOUT BESIDES THAT I DON'T LIKE HIS OPPONENT
302254,She's not Donald Trump.//
302261,
302262,"She's capable, she's qualified and she's sane.//"
302264,She's been in politics and seems to know how to speak and conduct herself.  I don't know if she's honest or not.
302265,
302266,"She has experience, not as president but of the whole process//"
302267,
302269,"SHE HAS EXPERIENCE, HER HUSBAND AN EXTREME PLUS TO BRING US BACK TO WHAT ITY SHOULD BE, SUPERIOR TO HER OPPONENTS\\"
302273,
302275,
302283,no
302286,":\\she is experienced, she has the temperment, she is knowledgeable, she knows how to work with people, she knows how to listen, and she has positions that is to mine."
302290,
302291,she is qualified - better qualification - more qualified candidate
302295,"she is diplomatic, she can deal with all this countries, years of experience, wife of ex president, knows how to deal with coountries//"
302299,
302308,her experience//lesser of two evils//
302312,
302313,sje is a litle more seasoned for the position and acts more presidential/ /
302317,
302321,she is the democratic candidate which is your primary reason for voting for her//where she stands on the issues i generally agree with and I think she will make the country better
302325,I like the fact that she is for womens rights and she respects womens rights.  And that she is for all school programs and where they are needed.//
302328,She experienc3d and been in the white house a long time and knows how to handle things. Shes been in the white house 16 years with her husband and Obama. Shes more experienced.//Because shes part of the minority and the children and the schools. She knows what its like to be poor.//
302331,liberal policies
302333,
302337,Her past history.//Her calm demenor.//
302341,Past experience.//
302344,
302345,"Um, I dont think it's as much as what she does as much as what Trump is doing.//No that pretty much sums up how I feel about them. She does . She has experience.//I agree with some of her stands on policies more than Trumps.//No"
302347,
302358,SHE'S THE BEST PREPARED CANDIDATE IN A LONG TIME//STRONG HISTORY OF WORKING FOR CHILDREN CHIP PROGRAM//EXTENSIVE KNOWLEDGE OF FOREIGN AFFIARS//AS A WOMAN SHE HAS PERSONAL EXPERIENCE OF WHAT'S IT'S LIKE TO BE DISCRIMINATED AGAINST GLASS CEILING//HAS GROWN OVER TIME ON GAY RIGHTS AND IS NOT INFAVOR AND ADMITS THAT SHE WAS WRONG//SHE WORKS REALLY HARD
302361,
302363,because of bill clintone being president she knows more than donald does
302364,
302365,
302369,
302372,"SHE'S A DEMOCRAT, BEHIND A GREAT MAN IS A GREAT WOMAN, I THINK SHE CAN DO IT AGAIN//"
302374,"The lesser of two evils. I think she would be a more level-headed diplomat. // I vehemently oppose Trump. She's got issues that I'm not happy with, but... // She has a better history in politics which I think is important. //"
302375,
302378,
302380,her experience//her itelligence
302382,
302385,
302388,
302389,general policies//
302390,
302392,
302393,she seems to be the lesser of the two eevils//
302396,
302400,
302402,
302403,
302404,fighter thin she would do good// interested in childrens welfare adn education adn trying to see equal rights for ladies alot of good qualities adn raise minimum wage
302405,
302406,
302408,"she been through, seen w\everything and she been involved, a woman's opinion might chnge everything//"
302414,"I think she's a lot more for the woman and the not so rich people like myself.  And I just don't trust Donald Trump.// There's some things I'm still not 100% with her, but there's not a lot to choose from.  i just don't want to see 'him' get in."
302417,
302420,
302421,
302424,
302425,she seems more for makimg a diffirence on a lot of things
302428,
302430,she represtnets adminsdistrion influenced by public opinion /promised to implemewnt the most progressive adminstration in hisorty/ she is persistent/
302434,Her environmental policies//
302435,"Her experience is massive. A wife of a former President, a Senator and Secretary of State.//"
302443,
302445,
302446,SHE CAN BE A STRONG LEADER SHE CAN RUN A BETTER ARMY THAT WHAT TRUMP WOULD//
302447,I think she has the experience. She does have the know how . She is much more capable than Trump.
302449,
302450,
302452,I dont feel like she is bought off like trump is
302456,"she has proven to be a competent leader, her polivies are coherent, at least if I disagree she has a record of public service that I find adminrable//"
302459,SHE'S BILL CLINTON'S WIFE AND WE GOTTA GET HIM BACK INTO THAT WHITE HOUSE
302461,
302462,
302463,
302465,
302467,"she is very intelligent, she knows what she is talking about and she is a woman and I think its time for a woman to be president//"
302469,
302470,She has a lot od exoerience aver since she was in college shes worked for children and pass a lot of legistation and exoperience as secratary of state. Shes a tough lady as donald trump says.//I think she can handle the job.//
302471,
302476,The thing that makes me want to vote for her is that she is a woman and its time that a woman  has a different aspect about how to run things//
302477,more knowledgable//
302480,
302489,Just her equal rights for women and african americans and she seems pretty honest
302491,
302492,"I would be voting for Johnson if it would make a difference, but I know it won't help."
302493,
302494,"Her experience/She's been there done that kind of stuff, you know what I mean/"
302496,I feel she is more suited for the position//
302498,"First female president, she has experience from her husband being presodent//"
302501,
302506,
302509,"I mean she showed some support for things like Black Lives Matter and gender equality; but, like I said, the race hasn't changed much of her politics and I'm not sure how much I trust that. // that she's not Donald Trump, I guess. //"
302513,
302516,i like the way she says she is for the schools
302522,"she is not donald trump, she might get us national healthcare,she might help immigrants and blacks//"
302526,
302527,
302529,She is a politician . She has been around for a while. She at least understands how the game works.
302531,
302532,She is experienced person that has been in the world of politics for a long time//
302535,i ike osme of er proressive ideas...some//
302539,
302540,"i think she haxs a real,y strong history in politics working for what she believes in lots of ecperience in desaling with foreign nations, extremely intelligent  have a hard tiime comparing the 2 even if they she has so much more goin fo her surround herself with good people [REDACTED DETAILS]//"
302542,
302543,She's been in the white house before and been with the senate. She's has experience with the governement. //
302545,i like her; we were always registered democrates and i think i like her// like her as a person//
302557,"i dentify with her social and economic politics//I'd be happy to vote for the first female president and I think she was a first lady, secretary of state and a good senator//"
302558,
302559,"The fact that she is not trying to stop people from coming here to work, equal opportunity. Mostly, my strong point I dont she labels people, and taking things out content.//"
302562,"I think Hilary's focus especially after the primarys has been on making sure that social welfare is a large part of her focus if she gets elected. That includes lowering taxes for the middle class. That includes focusing on renewable energy jobs and putting money toward that industry.//Um, She is a big proponent for equality from what I;ve heard,,,abortion rights, gay rights, rights for women and men. She sounds like she's for equality. I will go into why Iwont vote for her in a minute. She is also a proponent for religious rights and choice. Freedom from religious persecution, I guess.//Something that I just read kind of made sense is she's been scrutinized fairly heavily compared to any politician that I've experienced. 8 years of politicians that I've been exposed to . She 's been in politics for a very long time. Its good and bad but she has that experience to how things work or won't work. My question is as to how things will change or adapt. I wonder if she'll change or adapt after all that experience."
302564,her views on the disabled
302566,"She's a politician. She's very much a politician. But she has very limited qualities. Hell, she was secretary of state for years. //"
302568,promete estar con los hispanos
302569,Foreign policy experience//first female candidate//experience un der Barack Obama
302574,
302576,who she selected for vp
302579,
302580,"shes a defender of LGBT community, rights of minorities,"
302581,
302583,
302584,she is not going to be a good president//i dont trust her/she is two faced abd i dont beleive her/
302585,"She has more experience, shes able to communicate better with people,//"
302586,
302587,
302593,"Keeping the Obamacare is the big one//Her wanting to look into medical marijuana (I kow that sounds bad, but I have several [REDACTED FAMILY DETAILS])//Gun control//Her approach for equal rights - sexism with females and males"
302595,"Her experience. Her husband having served as president for 8 years, there's nobody better to have in your bench then someone that has had that job. In a crisis we have a good team there. I think she makes calculated decisions, and doesn't shoot from the hip. She listens to other aides and people around her before she makes a decision. I feel that, I know she does. //"
302602,her dept of knowledge pertin to the office of president
302604,because she is the democrat candidate
302606,"Her experience in politics.//Her platforms that are similar to Obama, but go in a slightly different direction.I like her platforms for immigration, educatiion, general welfare...//"
302610,
302612,
302613,"I think she would be real good.  She has been in the White House for what is it 10 years, since Clinton was in. She might make a good president.//"
302614,Her experience//Her views match mine on many subjects//
302615,because she is a woman
302621,"in a way i thionk she is on the right tract for  poeple and woman and I think she would do okay with it.\\ well i guess they say her health is okay is that an issue, she could handle the job, but have peple to help you and advise you if you are higher up and in that situation\\"
302626,
302627,
302629,
302632,LIKE THE WAY SHE HANDLE THINGS//
302634,she is the only one out there // been in politics thelongest// been on staff with obama// been in the white house before
302639,
302643,She has a lot of experience. She's well educated. She's sat in many positions of political responsibility.//
302645,
302648,I prefer her to the other one//
302651,Her experience.//At least she states her policies.//
302652,Experience//Level headness//Won't set the country on fire//
302653,She does have the exprience of being the first lady and I am sure that experience would lend her some wisdom that would come in handy.//
302657,Longevity maybe.//
302659,
302660,Her history in the political ring/
302661,
302664,
302665,
302667,she's had a lot of experience // she's a strong female //
302669,social policy
302671,
302673,She supports immigration//
302675,her stand on taxes//stopping frisk is unconstitutional//
302678,"experience, um, just because she, basically her experience. Donald Trump does not have experience in the The politica fields"
302679,experience//
302680,
302684,she was secretary of state has more experience//not really
302699,
302707,
302709,"SHE IS THE BEST, AGREE WITH HER STANCE ON SOCIAL ISSUES LIKE ABORTION AND EQUAL RIGHTS"
302710,
302713,
302714,
302717,
302719,
302720,BETTER FOR THE COUNTRY INSTEAD OF RUININ THE COUNTRY
302722,":\\relevative to Donald Trump she is sane, her policies are more moderate to liberal, use of foreign policies ideas, economic policies in general"
302723,
302724,
302726,
302730,Experience//her policies that she has.
302731,I think she is a very strong person and I think she is able to get the job done// I think she believes in what is needed for the people of the united states//
302733,
302734,
302736,
302739,"THERE ARE A LOT OF THINGS SHE HAS SAID THAT ARE ALREADY IN PLACE, I'M NOT A LESSER THAN EVIL 2 KIND OF PERSON, THERE'S NOT A WHOLE//"
302741,"I think she has a good head on her, I think she understands the world policial area//I think she is a little more level headed than Donald Trump is//"
302746,
302751,
302752,"ike she is a fighter, has politcal ecperience, not afraid to go against other polical candidants, patient and understanding. She has tried to help some of the issues facing the nation, Client foundation bringing together foriegn leaders, support of Obama, good Secretary of State//"
302754,"Her experience//Well, her democratic platform - that matters"
302755,"Her experience, uh, and her accomplishments; //"
302757,
302760,
302761,If Hilary would help senior citizens with healthcare and try to control the drug companies from raising the prices
302764,Experience//He she is very bright and educated. Primarily her experience.//
302765,
302770,
302771,
302774,She's experienced//
302779,"I guess the stuff she wants to do for public education for Latinos, and what she will do for Latino immigrints."
302781,
302782,
302785,"I think because she has a lot more experienced in being a world leader.//I trust her actually, i trust her more than Donald Trump//"
302786,
302787,wer're getting a two-fer with her husband and he can help her a lot//
302790,
302791,
302793,her political background
302795,
302798,I think because she's more qualified//
302800,I've always taken a liking to her politically since she was in the White House with her husband//
302805,her background. she is fit for president.
302806,Her experience. Some of her policies are in line with mine.//
302809,"Her political experience, her negotiation experience, her foreign policy experience, and her ability to pass bills.// Her compassion."
302810,
302812,She knows what it take that office//She has experience in the White House//I really do believe she would be ready for change// She has been wanting to be it for so long//It would be historical if she would be president//She has been running for a while trying to be president// I like her drive//She is far more professional and has more integrity than Donald
302813,SHE IS MOST QUALIFIED WHO EVER RUN FOR PRESIDENT - SHE IS A WOMAN - SHE KNOW ALL ABOUT HOW THE GOVERNMENT RUN
302815,
302816,
302821,
302830,"leadership, confidence, and she will do the change she is expecting"
302835,Experience level and also that se is gthe democratic candidate//
302836,SHE WAS THE FIRST LADY ODF USA FOR 8 YEARS. SHE WAS THE NEW YORK US SENATOR. SHE WAS SECRETARYA OF SATE FOR USA. SHE IS A LAWYER SHE UNDERSTAND THE LAW. SHE IS DEEPLY CONCERN ABOUTH HEALTH FOR WOMEN AND CHILDREN THROUHGH OUT THE WORLD.SHE STRONGLY SUPPORT EDUCATION FOR ALL PEOPLE.
302840,she is democrat
302841,she is for helping disabled\\feels better communicating with other countries
302843,
302844,She has a lot of good ideas and she is for womens rights and childrens best interest at heart.//
302850,"HER WHOLE LIFE HAS BEEN GEARED TOWARD PUBLIC SERVICE, I'M NOT ENAMORED WITH HER, I THINK SHE'S VERY SMART//"
302851,
302852,She's not Donald Trump//Not as extreme as Donald Trump//
302856,Shes t5he better of the two evils.//
302861,
302864,Keeping Donald Trump out of office//
