V160001_orig,V161075 - PRE: What is it that R likes about Republican Pres cand
301355,
301356,
301357,"I like his position of the trade agreements, I don't think we should be outsourciing more jobs. He thinks other NATO countries should be held accountable for their financial part.//"
301365,loke from this presdient that hwe nhave now//he has some good ideas I don't now. he does n;t strike me as presidnetial becasue he's a business man but maybe that's good as it will change the way we do thinkgs. And I hate this trend toward the nostitution doesn't mean anything any more. f
301366,His leadership//the policies he's presented allign with mine - I agree with most of his policies//
301367,He is more trustworthy of the two candidates.
301368,"Yes, he's a business man. He has succeeded in business. He has a proven track record of success. He is a non-career politician.//He has um, He has put the first woman engineer in place with his construction company.//Um, He has no filters.//He says it like it is. Bad or indifferent. He represents change,//He has to prove something.//I think the American people can benefit from his need to prove that he can succeed.//That's it."
301369,businessman not a poliction
301370,
301371,
301373,"good business man//may have bankrupt a few companies but never bankrupt himself//he has kept good rapport with banks//no Bullshit, tells you what he thinks even if it is stupid//understanding of classic american than her opinion(Clinton)"
301375,
301376,
301377,
301383,I believe that he is sincere. I believe that he knows economics. I think he makes alot sense. Keep the jobs from going to China and Mexico. The one thing that he wants to stop is the killing with the cops. He seems more sincere. He's going to do it. He might not be as experience as Clinton but I think he would not go back on his word.//
301384,
301388,
301389,
301391,
301393,
301396,His idea to set term limits in the Congress and Senate.That was a brilliant idea ans I haven't heard any other good ideas from Donald Trump.  But I have always been for term limits on the Congress and Senate.//
301399,says how he feels honestly//fiscally conservative//
301402,
301404,supere court justic e being appointred tax plans//
301408,he's honest and not a politician
301410,
301411,
301412,
301416,he is directness and honesty -
301418,
301419,I feel like he could make major critical decision for our country.//
301420,
301421,
301423,
301429,
301433,HE IS SUCCESFUL IN WHAT HE DOES//THATS THE MAJOR THING//
301434,SUPPORTS LEGAL WORKERS//
301436,
301439,"to keep Hillary out, he deserves a chances, definitely has some ideas//"
301440,His honesty.//His bluntness
301442,
301446,"helping the economy, bringing jobs back to the us,"
301452,
301454,
301455,I agree with his version of things than the other candidate
301456,"He's straight to the point, I believe he doesn't need to benefit from the income of the presidency, he's got more money than anyone, and he's a business man and that's what we need//"
301457,
301458,
301459,
301460,
301461,Donald Trump has the nation's strong hand and he seems like he has all the answers to th nation's questions or to US questions or the Cogress questions
301462,strand on tax and imigration
301464,
301465,stance on abortion
301467,
301472,
301474,
301479,"his immigration policy, policy on finance, trade, and relationships with Israel//"
301481,
301482,I like his ideas on tax plan. I like the fact that he is pro gun. I feel that he has spent a lot of years running big business and has done a good job doing that. the government is just like big business. I like the way he is handling this. I do believe his words are changed around quite a  bit and the media has changed his words to make them sound a lot worse than what it really is.//
301483,
301488,He's a business man and knows how to create jobs.  I like his immigration policy.  He wants to build up the military.
301489,He is the alternative to Hillary Clinton.//
301491,
301495,
301496,HIS CONSERN FOR PEOPLE
301497,
301498,"He is the opposite of her, the things about the immigration and the economy and the things he does for the veterans, the military.//"
301500,
301501,
301511,
301513,"maybe just the shakeup, the idea of turning everybody on their head, that might be bad for us, take everybody out of their comfort zone"
301514,he represented an opportunity to change the busines of politics
301515,
301516,
301519,
301522,
301527,his entire platform are 90 % in line with mine
301528,I respect his leadership as far as business man. the way he raised his children. He didn't give them everything he wanted. He is successful and Im hoping it wil translate for the country//I liked that he used his own money for his campaign. I like that he tells it like it is. Its very refreshing. He is a straight shooter. I'm tired of the wishy washy politicians//He is very good at getting his point across. He wont be a pushover. I like somebody that is strong in their beliefs//
301530,I DONT REALLY WAT
301533,
301536,Now he seems like a good family man but he was not before//All the things I said for Hillary are true with Trump but less//His supreme court promises//
301538,
301541,honest//against abortion//for border control//he is not Hilary//
301544,
301545,
301551,He wants to change things. We need a change I think//get the foreigners back where they belong//
301552,better
301553,
301556,
301560,
301562,"He wants to right by the country, Is he going to right by the country, can he do what's right by the country I'm just not sure if he can //"
301563,"Hope, security."
301564,
301566,HE IS NOT A CAREER POLITICIAN//NOT OUT TO CAUSE THIS COUNTRY ANY HARM//READY FOR A CHANGE//
301567,"his buisness ethics\\ get business off the round, he's made a real job of that, who knows\\"
301570,"IFLUENCE, KNOWLEDGE, POWER, GETTING THIS DONE//"
301572,
301580,
301583,remembers when his dad and him
301584,he is talented in creating organizations that are capable of achieving great results in his profession//
301589,
301590,becuase he will run the country like a business
301594,
301596,"His issues.  He's strong.  He'll be a strong leader.  Pro life, infrastructure, the military, healthcare reform, jobs economy, religious freedom. Supreme court jusctice, border control, second ammendment."
301598,
301601,
301602,
301603,I think just someone who is might have some influence in changing some of the political structures; like with the lobbyists; someone who would send a message that I as a voter would like to see some change in the political system//
301605,just that he's running as a repblican\\
301607,
301608,
301610,"He wants to solve problems; he is not committed to different um organizations or activists to um political contributors, when they contribute to...I just think he is a problem solver, and he's there to solve problems of America. he is not there to get rich, he's already rich, he's there to help. //"
301611,
301612,
301617,
301618,He's New. He's business saavy.//
301623,
301624,
301628,
301629,Taking charge//
301631,
301633,
301634,
301636,"he is not hillary, neither of the other two would stand a chance so voting for them is a vote for hillary"
301637,
301645,
301648,
301649,
301650,I think he is a person not playing political game he'll do what he thinks is right for US//
301651,
301654,immigration//
301655,"the way he handles business, maybe it will help handle economy//"
301656,he has fight to keep immigrants and terrorists where they should be//it is a problem
301659,
301661,His business perspective. By using his business perspective to create jobs and his tax reform//
301663,
301665,he is not a normal politacal figure//he is not a pofessional politicaian//
301666,
301669,He could run the country like a business. //
301670,"I believe he will make this country prosperous again. I believe that is the basis of all our problems.//I believe in him. i don't know what to say. I believe that what he says he's going to do, he's going to try his hardest to do.//"
301672,He wants to change the governmental corrupt system.  //Because he has a good knowledge of economics and business.//He is leaning toward pro-life & he defends the second amendment.
301677,
301678,
301679,hop[e we got
301685,
301686,IT SEEMS LIKE HE TELLS IT MORE LIKE IT IS //THING WITH IMMIGRATION I FEEL HE COULD DO BETTER THAN HILLARY AND WITH INTERNATIONAL TRADE//
301688,Somethings he seems to be more honest// He says what he means//
301691,"he is different,"
301692,"His immigration policy in some regards; I like certain things about it. The fact he is tackling it head on is awesome, because it needs some attention. Especially because of where I lived [REDCATED DETAILS], I was affected my immigration first hand. The toll it takes on the community - in the form of health insurance, general insurance for house/car, and crime. // I have some regards for walls. That seems a little...I'm trying to make my answer so it's not wordy. I can see the point where I can see you are fed up and want a wall. But I think of places like Germany and other places with a wall. I like the fact he is focusing on immigration and I don't necessarily agree with every idea. And then his ecomonic know how and promise to help the economy. //"
301694,
301695,
301697,
301702,
301705,
301706,
301707,
301708,
301709,"he is not an establishment Republican, inspire of his lack of his skill for words he tells it like it is and that is how we the voter wants to hear it, he is not beholding to any money people, he cannot be easily bought, he is pretty straight forward//"
301710,energy level//
301712,
301717,
301720,
301721,everything//he tellls it like it is//he feels the same way I do about ISIS and immagration and the economy//I just the man I like the man/Just like an old country boy//
301724,"i do like the gun ho attitude, he is saying what the people want to hear//"
301727,"Oh there is a lot of things. Let me think about it.... Not politically attached or not establishment, non establishment//Somebody who can get things done.//It's hard to say, he reflects the way I felt a few years ago...How bad does it have to get before someone can get in there and change things?//No that's about it."
301731,
301734,
301741,strong leader
301746,because he said america is going to hell and he wants to build everything up and get more jobs going
301748,There's some of his policies that I'm ok with - maybe 1 or 2 policies//
301749,
301759,
301760,
301761,
301766,
301767,He's not a politician.//
301770,
301774,
301776,He's trying to stop the new world order which is a communist congregation with George Cyros as the leader.  He's got Obama and Hilary on puppet strings.  He wants to bring in the new world order which Hilary is part which is a communist regime//
301777,
301778,
301779,he would beat Hillary//he would pick the right people to be around him
301782,What he stands for. //
301784,like to give him a chance because people in the US are tired of the Clintons//
301786,
301787,
301789,
301791,
301795,"he is outside thee box and not a typical politician, based on his business  experience and he fits the direction I think we should in for our economy//"
301799,
301801,
301802,
301803,
301804,insurance and close the borders//
301805,
301807,for merican people
301809,
301810,"he is not a politician, new blood kind of thing\\i like what he is saying about immigration and such\\"
301811,He knows how to work the system//He's got a big mouth//
301812,
301821,"fact that he is not a politician, no vested inetrest in politics//"
301828,
301831,Stronger immigratiom. Cleaning up corriuption in congress- Both sides. Better business sense.// Outside of Washington DC. An outsider. The lesser of 2 evils.
301838,secure boarders stong military taking care of our vertrans gettin g ecnonamy going again and bring ing jons back to this econoamy which I think he can do//
301839,that he is not a politician//
301840,
301843,"Mostly economic plans. // He's more, he's a non-politician. //"
301844,
301846,
301848,
301851,More liberal on social views//
301854,Think he would be a change//
301856,our country is in a great deal of debt and i feel like he could help our country out in that aspect//
301857,
301858,
301860,"i like his business sense, he talks about trade agreements; jobs econoooomics, i think those are his strong points\\"
301862,Abortion for one thing--how he feels about that.//I just the like the way he stands on stuff.//
301863,"He's honest, looking out for the people, and the constitution//"
301865,He is not a politician//He doesn't come with any political baggage//I think he will upset everthing that's been done.  I actually think he will he's going to make changes.//
301870,
301873,
301875,
301876,
301877,
301879,"great business man, good character, strong, nice guy//"
301880,
301881,
301883,"It is to break up washington, probbaly the only time, both parties are equal at what their doing, they are owned by big money,they are forced and bought to pass the laws that are passed by another group, this is gives no benefit to the average person, the lower benefits by welfare, medicaid, the middle class gets nothing//he is going to break up washington, he has a good business sense even though criticized, the critocism actually republicans/democrats do not want him because he is going to breakup their pay for play, that is why they are so much against//I think he could run the government like a business, it can not get any worst than it is, he is going to enforce immigration laws, we nee very much, we have people here who are being bypassed, not corrupt as the media puts out to be, media as their own bias because part of the establishment, they interrelated by marriage, association, they are all in bed together, he plans to leave Social security alone, says he is going to improve health insurance, looking"
301890,His political views boarder protection all for a better life. everyone here shuld do the work and no one should get a free ride. Everyone should do the work.//
301891,
301893,
301894,
301895,
301896,"at this point I'd vote for him over Hillary. As to why, I feel like he's a little more trustworthy. //"
301897,
301902,That is all we got & he believes in our country//
301904,He's pro India so I appreciate that about him//I agree with his policies with not accepting so many refugees and upping that number. That will cost alot and that will contribute to our national debt//
301906,
301909,
301910,
301914,He is not part of the establishment so everybody is freaking out//
301917,
301918,loike business stageties//feel safer than hillary//
301921,pretty agressive
301925,"If he abandons his school boy tactics and assumes a more mature tone regarding the issues, I might very well vote for him.  But he's got a lot to prove to me in the next few months.  The debates are coming up, so if he has shown that he has grown up a little bit and acting like a wise and serious presidential candidate, then I might very well vote for him.  But he's got a lot to prove.//His friends who have talked to him and know him well say that outside of the media he's a very thoughtful, kind and well-versed gentleman, but when he gets up before an audience, things change.//"
301926,
301930,"I belive that he is more trustworthy than Hilary, he is not a stablish politician//"
301932,
301938,he;s not a perfect candidate//honest for being doing the right thing for US
301941,
301942,
301944,immigration policies/create jobs//
301946,
301947,He can make money.//
301948,I think his ideas in general are very good for what our country stands for. //
301950,he's straightforward and says whats on his mind instead of sugar coating things. he makes what he says kind of a wake up call in a way //
301953,"I like that he is outspoken, he wants to raise taxes for the rich and lower taxes for the middle class to make it more equal, and he want to go after ISIS"
301955,Better than the alternative in my mind...sad election this year//
301956,
301958,
301959,
301961,He might get the country out of debt.\\
301967,
301968,
301969,"His appeal as to why I'm voting for him I guess would be uh,,  he seems honest to me.//Uh,, obviously his policies and things of that nature.//about it in general."
301970,
301971,
301974,his views on military and police force
301977,
301980,He doesn't believe in abortion or gay marriage either.
301981,
301982,"I really believe that he wants to help this company by creating jobs. He nots a policticna. He's a business man. He's his on man. He may stay stupid things sometimes. You dont want an angel for President. And as far as the illieagls , if it means a wall. As far as the Muslims, theyre not all bad, but some are , there are attacking people all the place/country."
301983,
301984,
301985,
301988,he is a business man and this government is a business and needs to be run like a business//disgusting in how the government brings in  millions from Freddie May and Fannie Mack and the money is wasted. //We have borrowed trillions from social security and sorry we wasted the money///
301990,"Nattional seccurity, illegal immigrants coming ito US//He would do away with Obama care//"
301992,
301993,
301999,I just like his views.
302001,
302007,"I think his bussiness knoleged, that is the only think//"
302009,
302014,
302016,"He is not a carreer politician.// I think he has good ideas on the economic future of our country, bringing job back to America.//I believe he will put Supreme Court Justice in that support me values.//I like his ideas on immigration.//Working harder to keep our country safe.// Repealing Obamacare.//"
302019,
302023,more of a straight shooter than everyone else
302027,HIS DRIVE AND ENTHUSIAM//
302029,I thinl he is probably going to put this country back where it was years ago
302030,
302032,"SOMEBODY NEW, REPUBLICAN IDEAS, SUPPORT OF THE MILITARY, GOOD RUNNING MATE//"
302033,"I would give him the business part, I think he is a sharp man about that// he might be able to get us out of debt, but not in this short term, but he might be able to get us in the right direction\\"
302034,make ameria great again enthusiam is great but no specifics
302037,"He's straightforward, he don't pull no punches on nothing//"
302040,
302044,The thing I really like about is that he is pro-gun and he is not so much gun rights//I am against abortion 100 and I dont like that Hillary is for abortion//
302047,
302048,
302050,
302052,businessman //has not been in politics so did not create this mess
302053,His ability to negotiate between the Republicans and Democrats in Congress is the most attractive aspect of his being president.//
302054,"tired of us paying for us allies, also has a backbone, gotta give him that, \\"
302058,He would bring more jobs back to South Carolina.
302067,"I think he's the man to get us back on track get us money like getting back my social security, there are a lot of things I think he can do. Do you?"
302069,
302070,
302074,that he is an outsider that he is not a career politician//he knows business he knows finance//he wants to decrease regulation for business and he wants to lower taxes and balance the budget//he wants to fight isis security
302075,
302076,
302077,
302078,"being a business, I would hope that he fix the deficit\\"
302080,
302083,I think he is more trustworthy than what I have to pick from and probably his business background//no
302089,increse milatary spending
302093,so I would not give a vote to Hillary we need a bussiness man elected
302097,
302099,his strength about choosing him is directive//
302100,
302101,it was not necessary his opinion that made me vote for him it was about what i didn't want that what i did want//
302103,
302104,"Like his first speech on foreign policy, America First/ If foreign countries want our aide we won't provide it for free as we have in the past/"
302105,
302106,"Number one would be the financial portion of the country.  Next would be security of thew country.  And we have a son overseas, so it would be security of US citizens abroad.//Probably to try something different and have a non-politician in Washington, DC.//"
302115,
302117,
302119,The economy.  I think he'd be better at it.//
302121,
302122,
302123,
302124,
302125,
302126,I believe that he is a good business man and that he is not controled by our politicians. He will make America great again.\\
302128,
302130,"he is a business man and he is not really a politician, he is got some points, he wants to build the border wall....get jobs up, quit sending jobs to china, keeep things local//"
302132,"honest, straightoward//"
302133,
302136,
302138,
302142,He's a Republican first of all ant that's all I vote and I like his political views//
302143,"his policies tend to align better with my views, uh, I think that he has held his poise during this campainge better than anyone could have expected//"
302145,
302147,"//hes not in it for the money, he's in it for the people"
302148,
302150,He is for military veterans.//Strong financial background.//Very outspoken.//
302154,"I'M STILL IFFY, NOT SURE IF I TRUST EITHER PARTY//"
302155,
302161,"I feel his morals are more in line with mine. I like the idea of the wall - kind of closing up our borders some. //I believe our country use a financial person to build our country back up, build up our military, get rid of Obamacare."
302164,
302166,
302167,
302169,
302171,
302172,Hes espouses greatness.  He's a big thinker.  He has a fresh new way of looking at government//
302174,His choice of supreme court justices/choice of advisors and vice president/
302178,
302183,
302186,he is a agressive person he would be more equipped to et the point across and get something done
302190,
302192,
302193,
302195,
302196,
302197,The fct that he might be a man//
302198,
302206,"one of the things don't like about clinton is I think trump will choose better Supreme Court justices, I do believe in some of the immigration reforms that he is trying to present and i disagree with Hillary Clinton on that, I do not think that the medical care that is being used now is the best, I think it could be better, in some cases , they are raising cost I feel that the candidates are not familiar enough with the costs.  I think it should it be more fair for everyone."
302207,
302214,
302216,"He is an outsider,I believe he has good deligation skills, the fact that the democratic establishment & reepublican extablishment do not want him, that tells me that there is something wrong with politics at that level//"
302217,I like that he is honest and for the people during the Louisiana flood.  He is a shrewd buisnessman.
302218,
302219,the only thing I think is good is that he is not deeply embedded in the system. he woukd be an outsider//
302220,the party that he represents//
302223,
302231,good as foar as business goes//
302233,
302234,I AGREE WITH MOST OF HIS POLICICIES. LIKE A BETTER WAY TO LET PEOPLE NTO THE COUNTRY. BRING JOBS BACK HER INSTEAD OF IN CHINA FOR INDUSTRIAL AND BLUE COLLAR JOBS.//
302236,"he is not a politican, pretty much a straight shooter,  like his economic plans and immigration plans & I like what he want to do about threats to the country//"
302238,
302239,
302240,
302244,he just seems like he would lead us in the direction we need to go over Hilary Clinton//
302245,"The only issue that I have agreed with was his, concerning public lands and the transfer of public lands to the State. I believe he is opposed to that. I could be wrong . and that issue, which is a big issue for me, I'm in alignment with that as part of his agenda.//But If you were to ask him today, he might not remember that he had stated that in a candid interview. He flip flops and anything can come out of his mouth. I don't know.//"
302246,
302252,
302253,
302254,
302261,"He seems to put americas interest first not his own interest//he may say  thing might have offended people but there is only words, actios speaks loder that words//Trump has emplyed thousand of people of all backrounds men and woman , black and white//I belived Trump can make the america economy arpund and Hillay can not do that//Donal Trumo has visited citys that was hit floods and other natural disaster and brings supplys, Hillary did not do that, even Obama did not do that//I feel Donal Trump has his heart in the right place, he cares about america and wants make  prosperous again//there are millions of people without work and I bolived Trump can bring back those jobs//I think can make those production companys come back to america, he know how to negociate with them//americans products should be made in america and they sshould be made and america not somewhere else andd sold in america//"
302262,
302264,In the beginning he said a lot of good statements about what would be good for the country.
302265,looks honest
302266,
302267,
302269,
302273,"little firmer with people coming into the country, supports guns,"
302275,the economy. he is weak in some other aspects. \\
302283,racial
302286,
302290,
302291,
302295,
302299,
302308,
302312,physical responsibility and safety of our country
302313,he is against th nafta bill andd i am also against thee nafta bill//
302317,don't want Hilary/
302321,
302325,He gets his point across and he is bold.//
302328,
302331,
302333,"He believes in the people and I know he would do a better job than Hillary, working for us not herself. //"
302337,
302341,His honesty.//
302344,He is not Hilary Clinton//
302345,It's more that he's running with the republicans. I normally vote Republican. That's probably the only thing. And he does know economics well.//No
302347,"The main thing about Donald Trump that makes me want to vote for him is that he is Not Hilary Clinton. Other than that , he is basically a Democrat and is definitely the most milk toast Republican Candidate of my life time.. I can't beleive that we would have to choose between these two people. What the hell is going on,// No, sorry. I need to watch my mouth."
302358,
302361,need a change
302363,
302364,He is running against Hillary.//He is running on my parties card.//
302365,help people weather got help people putting him self out there
302369,I guess the way he handles business I think it would be good for our country//
302372,
302374,
302375,
302378,Make american strong again and put people back to work//
302380,
302382,
302385,I think he's sincere//
302388,
302389,
302390,He tells it like it is//
302392,he is going to secure our border//he is going to br more for the working person he knows where we come from//
302393,
302396,
302400,
302402,he is a leader// and he has promised to defend the unborn
302403,He's a republican//Good man.
302404,
302405,he seems more honest he is more american
302406,
302408,
302414,
302417,
302420,HE IS OPPOSING HILLARY//HE IS NOT AN INSIDER//
302421,I'M VERY CONSERVATIVE SO IT IS THE AFFLIATION WITH THE REPUBLICAN PARTY//
302424,he is not hiliary clinton\
302425,
302428,think he would be a good president and he will know what he is doing/he is a billionaire and he will turn this country around/I've known him since high school we government we had to pick who we wanted our stocks and bonds with and he was one of them
302430,like the fact that he is an anolomy /he is the manifestation of american discionetent of american politics/
302434,
302435,
302443,"got a strong stance on alot of the issues and has some good ideas, not a careet politician"
302445,Becuase he is the republican nomineee and a good business man. He is not Hiliary Clinton//
302446,HE COULD HELP GET YOU KNOW THE ECONOMIC// IN BETTER SHAPE THAT WHAT IT IS NOW//
302447,
302449,
302450,almost everything//
302452,
302456,
302459,MORE JOBS IF HE IS SERIOUS ABOUT OPENING MORE JOBS//HIGH UNEMPLOYMENT LEADS TO HIGHER CRIME//
302461,Because he tells the truth and he says it like it is.//He dont hold anything back and is very outspoken.
302462,i just feel like he will keep our sagfe i like his plan to combat isis the wall in mexico to do background checks on people trying to get in our coutry that are not from here. I like his policy on imigration control. Background checks on people coming into the country I like that he's not affraid of those that are against what the United States stand for. I feel we can trust that he will do the best to protect our nation and will seek advice as needed. I leke his health care reform policy that is getting rid of obama care. And i like his tax plan. That he is going to make ou country strong again.
302463,HE IS A BUSINESSMAN AND THAT IS WHAT THE COUNTRY NEEDS//THAT IS WHAT THE COUNTRY NEEDS//HE IS MORE BUSINESSMAN THAN POLITICIAN//
302465,
302467,nothing //
302469,"I do kind of enjoy his - he's funny.  He isn't a politicion.  He isn't afraid to tell people off.  He's not doing this for the money.  He used to talk about how frustrated he was with the economy.  I think other countries think we're weak.  I would just like a fresh face, a new perspective.  Hopefully, he will have some good people around to advise him.  I still believe in the Republican party."
302470,"Securing the borders, vetting people coming into the country, a more conservative supreme court justice.// and pro life//"
302471,
302476,the fact that he is a business man and I don't tjonk that this countr has really as someone who has been so  usiness savvy and might be able tohellp America ourt financal=illyu//
302477,He's for America the way it used to be. He's Anti-abortion. He knows the decieving way of the Democrats that have been in office and speaks against it.// I like that he wants to be jobs back to America.
302480,BELIVE HE GET THING DONE
302489,
302491,likes his ideas
302492,
302493,speaks his mind/does what he says he is going to do//
302494,
302496,
302498,
302501,
302506,I dont think he is a normal politician so does not hae to follow a political agenda
302509,
302513,INDEPENDENT OF TAKING MONEY FROM OUTSIDE COMPANIES CORPORATIONS. NOT A LIFE TIME POLITICIAN. STRONGLY INTERESTED IN SEEING CITIZENS RECEIVE BENEFITS BEFORE NON CITIZENS. INTERESTED IN STOPPING ILLEGAL IMMIGRATION.INTERESTED IN REBUILDING VA SYSTEM AND MILITARY SYSTEM.//
302516,"He seems like he is not afraid of ISIS or any of the terroist groups, I dont think he will be a coward"
302522,
302526,the taxes. and i work for a middle class company that makes the poor poorer with obama care and wish that would go away.\\
302527,HE WILL PROVIDE SOMETHING GOOD FOR AMERICA\\ HE WILL MAKE AMERICA GREAT AGAIN\\
302529,
302531,He is not Hillary Clinton.  He takes a tough stance on helping the legal problems and getting the spending u nder control.//
302532,He is a change from the norm someone completely different//
302535,he's not hillary Clinton// Not much else go8ng for him//
302539,he is business savy and business strong
302540,
302542,business acumen
302543,Just that he's a businessman. He can help us out economicaly wise. //
302545,
302557,he is not part of the political establisment//
302558,
302559,
302562,"I like that he is somewhat of a conservative business man and it sounds like he might appropriate some of the money, some of our tax money towards programs and really towards programs that will help our country rather than programs that are not helping at all. It sounds like he will take away some of the money that might go toward defense and concentrate on social programs like education and police and firefighter social welfare, I suppose. I don't know if that's the right word for him but I feel like we can take care of things here if we feel like were spending abroad. I feel like it could be better used in this country.// Um,, I wouldn't say so,, like I said he wasnt a good a business man at first and he learned from his mistakes. His morals don't fit with mine.//No I think I can stop there."
302564,
302566,
302568,
302569,
302574,
302576,his big emphsis on our country not foregin affairs
302579,"It's sometimes I do feel like it's like a mystery to me, maybe yeah. Because the guy is different and uh, sometimes the way he acts kinda throws me off. Iknow that (phone is ringing)I was saying this guy is crazy but he might bring something different and that is on my mind because he is different.//So if I was going to vote, i'm not registered. That's probably where i would go. I know Hilary would just be a continuation of Obama.//"
302580,
302581,He's not Hillary Clinton//
302583,integrity//is not Jillary//because he is not a socialist//
302584,
302585,
302586,
302587,
302593,"His immigration policies regarding illegal immigrants, not necessarily legal"
302595,"He does have good money skills. I don't think we've ever had a person more qualified to manage money. It doesn't matter how good he's at at managing money, the senate and house have to approve everything."
302602,
302604,
302606,
302610,"He is not Hilary Clinton.//I am not necessarily a fan of Trump, I am just not that much a fan of Hilary Clinton.//I think every year the pool of candidates from both parties gets worse and worse. I could probably write a thousand word essay on this topic.//"
302612,Making this better.  Getting it back on track...even though he has so many faults//Uh..that's it
302613,I think he would make a good President. Either one would be great I think it would be. //
302614,
302615,"he is going to make the economy better, hoping he will help the education system"
302621,"i don'tknow maybe he could be better than Hiliary on his leadership qualities, and he has his own thoughts and opinions and leadership qualities about letting people in th county\\"
302626,I think he will be a very strong and capable president//I feel if he doesnt know something he will hire someone who does. He won't just blurt something out.
302627,he is realistic
302629,
302632,
302634,
302639,the financial how he wants to straighten out finances and agree to buld a wall and only let us citizens come across the wall and he wants to bring jobs back to US  has had several friends who has lost jobs as jobs are being shipped overseas.   I believe that america back in the financial status all say that whether or not is true i don't know
302643,"He's frank.  Honestly, I kind of admire someone who steps into the policial arena and does not play the political game.//"
302645,
302648,
302651,
302652,
302653,"He is a relentless winner.//He believes along the same lines that I do as far as people shoulc pull their on weight.  Against hand-outs for people that don't work.// Another strong point is he has a vast network of people that he trust that have many skills in different areas and he has skills himself as a organizer and he is someone who listenes to different viewpoints and decisivive. He is an honest man, sometime that gets him in trouble, but you can't get into too much trouble by telling the truth.//"
302657,I'd say his business perspective.//
302659,
302660,"His ability not to mence words and not a political figure, wants to run the country like he would run a business/"
302661,nstional sircuity//
302664,His abilioty to run a business.//
302665,probably because he is so spunky
302667,
302669,
302671,"Like that he is done with political correctness, talks about issues people in the community are concerned about. Like his business sense//not afriad to bring up things other candidates will not talk about//"
302673,
302675,"his views on taxation, exported goods, immigration,// i like that he is already wealthy//he has gumption.//"
302678,
302679,"some of his business ideas, foreign trade, //"
302680,He's an idealist and he wants to be progressive
302684,"cares a little bit more about the race, cares more about the country, great interest in helping out or at least attemtping too"
302699,That he's not owned by the politicians//he's honest//he's conservative//
302707,that he is running against Hilary//
302709,
302710,He's a business man/
302713,He will stop people from coming into our country from using the system. I highly agree with him.  I think he would do very well as a president and he would change everything and our family is hoping. //
302714,He is not a career politician//He is not afraid to stand up and use direct verbage instead of politically correct passive BS//Agree with closing the border//And most everything else he says
302717,because he is outside of the political system//not specifically//
302719,
302720,
302722,
302723,
302724,
302726,"Yea, I'm not sure what. Well , yes. He's not a carreer politician. He speaks his mind. It may not always be politically correct but then so what!//He's not tied to any special interest that I know of.//I cant think of anything."
302730,
302731,
302733,
302734,
302736,Hes a good buisnessman.//  I just like how he talks.  He is a smart aleck too.//
302739,"THERE'S CERTAIN THINGS ABOUT HIS POLICY THAT I AGREE WITH HIM, HE IS OUTSPOKEN, BUT HE HAS HAD ME LIKING HIM AT TIMES IN HIS POLICY//"
302741,I would say he is not a career policitan//I like the fact that he will say what is on him mind//
302746,"he has his challeges as well however he is outside the polical process and I think we need a change. I'm not happy with the republican or democrate party have handled themselves.I would hope that Donald, if he gets elected will be able to change some things/I believe theres' a great deal of waste in the gov't and that needs to be addressed. my professional business was to help clients become more efficient and effective and I hope Donald will be able to do that wiht our gov't. /"
302751,I think there could be a change in politics. With Clinton its a continuation of what we have now. I do not agree with Trump about the wall.\\
302752,"Like his tax policy, his idea of US foriegn policy//"
302754,
302755,
302757,I guess he is the lesser of two evils. There really is not much more I want to say about that. People are going to die when they read my review.
302760,
302761,I think that he would get things done a lot better with war and immigration without being a citizen.
302764,He tells it like it is but he doesnt always tell the truth. He has endless energy//
302765,not Hilary clinton//
302770,"Like alot of thinks he wants to do, bring jobs back to American, increase inport taxes, defend against ISIS, just dont like Hillary Clinton//"
302771,"basically i dsthink he is about the same as hilary, i can't believe the country can only come up eith the these two candidates, trump and clinton, it is a sad state of affairs,// i know it is the electioral college that has the real vote, and  that it is a reassurance ritual to make the american people  think they have a vote in this.// i wish it was 1980 again and Ronald reagan was running"
302774,He speaks his mind//
302779,
302781,
302782,"gun policy, borders, immigration stuff, keep letting people in they have alreay started mass shootings and bombings in the us.  hilary lets people in and hold off a bit and find a better way dont just let them in here without checks already seen sevearl issues."
302785,
302786,"I like his pro life stance, that's important to me. and overall, I feel like he does fight for certain freedoms a little bit more than Hillary does. //"
302787,
302790,"a little better than Hillary Clinton, heard good things about him and I hope he doesn't get assinated if he wins"
302791,what i like about him would be change//he is not a career politician//his background is business is what this country needs right now
302793,
302795,
302798,I do like some of his views//
302800,
302805,
302806,
302809,
302810,
302812,
302813,
302815,i like what he talks about he talks about the people fist and that's what this is all about I think he's our best choice to go forward as a nation//
302816,Ninet nine percent of what he says that we need to go back to.When you have two choices it is not hard to make a decision when what you hve to choose from is night and day different you naturally choose who is closest to your beliefs.
302821,"just some of his beliefs, he is abusiness man i hope he can straighten out some of the problems we have. iknow he has his faults but so does everyone else, so out of the two he will do a better job\\"
302830,
302835,
302836,
302840,
302841,he know his way around money\\he's a liberal\\you don't think hes not a conservative\\
302843,"Very intelligent, business  man, practical business sense, common sense//"
302844,
302850,
302851,I believe in him I think he's gonna make the country better give the working man jobs and the working woman jobs and make us great again and I believe he's gonna bring us together and I know that Hillary an't gonna do that//
302852,
302856,
302861,
302864,
302865,
302866,not a political person//
302867,lessor of two evils
302871,I just like his view on things. This year has been a choice of bad and badder. I'm not real happy with either one of them but i lean more toward some of the things that Trump stands for.//
302872,His fiscal responsibility -
