Nature,Case #,Date Reported,Date Time Occurred,General Location
Liquor Law Violation,N/A,4/19/16,3/5/16 22:00,LLC 2 NORTH
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/5/16 22:09,Parsons
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/5/16 21:19,Stafford
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/5/16 3:05,Carson Lobby
Liquor Law Violation,N/A,4/19/16,3/5/16 3:05,Carson Lobby
Liquor Law Violation,N/A,4/19/16,3/13/16 20:00,Boynton
Liquor Law Violation,N/A,4/19/16,3/13/16 20:00,Boynton
Liquor Law Violation,N/A,4/19/16,3/13/16 20:00,Boynton
Liquor Law Violation,N/A,4/19/16,3/13/16 20:00,Boynton
Liquor Law Violation,N/A,4/19/16,3/13/16 20:00,Boynton
Liquor Law Violation,N/A,4/19/16,1/11/16 23:12,Cloran
Liquor Law Violation,N/A,4/19/16,3/13/16 10:13,Residence Hall
Liquor Law Violation,N/A,4/19/16,3/14/16 20:29,LLC 4 SOUTH
Liquor Law Violation,N/A,4/19/16,3/12/16 0:20,UO Annex
Liquor Law Violation,N/A,4/19/16,3/13/16 1:50,Sweetser
Liquor Law Violation,N/A,4/19/16,3/13/16 1:50,Sweetser
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 0:37,Spiller
Liquor Law Violation,N/A,4/19/16,3/12/16 1:37,Smith
Liquor Law Violation,N/A,4/19/16,3/12/16 0:20,Near 13th & Agate
Liquor Law Violation,N/A,4/19/16,3/28/16 20:40,LLC 2 NORTH
Liquor Law Violation,N/A,4/19/16,3/28/16 20:40,LLC 2 NORTH
Liquor Law Violation,N/A,4/19/16,3/29/16 1:00,Boynton
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,3/30/16 23:01,Robbins
Liquor Law Violation,N/A,4/19/16,2/12/16 1:19,Lillis Hall
Liquor Law Violation,N/A,4/19/16,3/13/16 17:00,LLC 4 SOUTH
Liquor Law Violation,N/A,4/19/16,3/12/16 17:00,Douglass
Liquor Law Violation,N/A,4/19/16,3/8/16 23:15,BARNHART 5 SOUTH
Liquor Law Violation,N/A,4/19/16,3/8/16 23:15,BARNHART 5 SOUTH
Liquor Law Violation,N/A,4/19/16,3/13/16 23:39,BARNHART 6 NORTH
Liquor Law Violation,N/A,4/19/16,3/13/16 23:39,BARNHART 6 NORTH
Liquor Law Violation,N/A,4/19/16,3/13/16 0:57,Dyment
Liquor Law Violation,N/A,4/19/16,3/13/16 0:57,Dyment
Rape,N/A,4/19/16,2014,On Campus
Burglary 2 - Laptop,16-0524,4/20/16,04/19/16 1500 - 1730,Straub Hall
Drug Law Violation,16-0522,4/20/16,04/20/16 0152,Walton Complex
Drug Law Violation,16-0526,4/20/16,04/20/16 1800,Walton Complex
Possession <1 oz Marijuana,16-0522,4/20/16,04/20/16 0152,Walton Complex
Theft 3 from Vehicle,16-0525,4/20/16,04/05/16 0000 - 04/06/16 2359,Global Scholars Hall
Criminal Trespass,16-0527,4/21/16,4/15/2016 1005,EMU
Theft 1,16-0529,4/21/16,04/21/16 1820 - 1920,EMU
Bicycle Theft 1,16-0534,4/22/16,04/22/16 0850 - 1930,Chapman Hall
Bicycle Theft 2,16-0531,4/22/16,04/22/16 1333,Susan Campbell Hall
Theft 1,16-0530,4/22/16,04/21/16 1730 - 1830,Student Rec Center
Theft 2,16-0532,4/22/16,04/22/16 1449,Off Campus
Bicycle Theft 2,16-0537,4/23/16,04/19/16 2020 - 04/23/16 1200,Bean Complex
DUII,16-0540,4/23/16,04/23/16 2317,Off Campus
Hit & Run - Property Damage,16-0538,4/23/16,04/23/16 1615 - 1625,East Grad Village
"Open Container, Criminal Trespass",16-0536,4/23/16,04/23/16 0754,Baker Center
Telephonic Harassment,16-0539,4/23/16,04/21/16 1734 - 2121,Off Campus
Courtesy Report (Theft 2),16-0546,4/25/16,03/28/16 1300 - 04/25/16 1210,Off Campus
Criminal Mischief 2 - Graffiti,16-0544,4/25/16,04/22/16 1700 - 04/25/16 0840,Archaeology Resarch
Criminal Mischief 2 - Graffiti,16-0545,4/25/16,04/22/16 0700 - 04/25/16 0953,Fenton Hall
Theft 2,16-0549,4/25/16,04/25/16 1450,Off Campus
Theft 3,16-0548,4/25/16,04/25/16 1800,Off Campus
Bicycle Theft 2,16-0551,4/26/16,04/26/16 0800 - 1550,Cascade Hall
Bicycle Theft 2,16-0556,4/26/16,04/26/16 0800 - 1900,Hedco
Bicycle Theft 2,16-0558,4/26/16,04/26/16 1300 - 1630,Columbia Hall
Drug Law Violation,16-0555,4/26/16,04/26/16 2027,Walton Complex
Hit & Run - Property Damage,16-0553,4/26/16,04/26/16 1520 - 1530,Lot 16B
Bicycle Theft 2,16-0562,4/27/16,04/27/16 1200 - 1500,Knight Library
Criminal Mischief 2 - Graffiti,16-0561,4/27/16,04/27/16 1127,Oregon Hall
"Theft 2, Unlawful Entry Motor Vehicle",16-0560,4/27/16,04/27/16 0015 - 0700,Off Campus
Bicycle Theft 2,16-0565,4/28/16,04/27/16 0800 - 04/28/16 0230,Bean Complex
"Theft 2, Theft 3",16-0566,4/28/16,04/25/16 2000 -  04/28/16 1348,Off Campus
Warrant Arrest,16-0564,4/28/16,04/28/16 0704,Lillis Hall
